Month,Year,State Abbrev,State,Labor Force Participation,Employment-Population Rate,Unemployment Rate 
02,2018,RI,Rhode Island,64.5   ,61.7   ,4.4   
02,2018,SC,South Carolina,57.6   ,55.5   ,3.7   
02,2018,SD,South Dakota,69.2   ,67.2   ,2.9   
02,2018,TN,Tennessee,60.7   ,58.5   ,3.5   
02,2018,TX,Texas,63.9   ,61.3   ,4.0   
02,2018,UT,Utah,68.6   ,66.5   ,3.0   
02,2018,VT,Vermont,67.1   ,65.3   ,2.7   
02,2018,VA,Virginia,65.5   ,63.3   ,3.3   
02,2018,WA,Washington,63.8   ,60.9   ,4.6   
02,2018,WV,West Virginia,54.0   ,51.1   ,5.4   
02,2018,WI,Wisconsin,67.6   ,65.6   ,2.9   
02,2018,WY,Wyoming,65.6   ,62.9   ,4.2   
03,2018,AL,Alabama,57.1   ,54.8   ,4.0   
03,2018,AK,Alaska,65.3   ,61.3   ,6.2   
03,2018,AZ,Arizona,60.9   ,58.0   ,4.8   
03,2018,AR,Arkansas,57.9   ,55.7   ,3.7   
03,2018,CA,California,62.3   ,59.6   ,4.3   
03,2018,CO,Colorado,68.5   ,66.5   ,2.9   
03,2018,CT,Connecticut,65.8   ,63.2   ,4.1   
03,2018,DE,Delaware,62.3   ,59.9   ,3.9   
03,2018,DC,District of Columbia,70.8   ,66.7   ,5.8   
03,2018,FL,Florida,59.3   ,57.0   ,3.8   
03,2018,GA,Georgia,63.6   ,61.0   ,4.1   
03,2018,HI,Hawaii,61.9   ,60.5   ,2.2   
03,2018,ID,Idaho,64.1   ,62.2   ,2.9   
03,2018,IL,Illinois,64.7   ,61.9   ,4.4   
03,2018,IN,Indiana,64.9   ,62.7   ,3.3   
03,2018,IA,Iowa,68.9   ,67.1   ,2.6   
03,2018,KS,Kansas,66.8   ,64.6   ,3.4   
03,2018,KY,Kentucky,58.7   ,56.2   ,4.2   
03,2018,LA,Louisiana,59.0   ,56.2   ,4.8   
03,2018,ME,Maine,63.1   ,61.2   ,3.0   
03,2018,MD,Maryland,67.8   ,65.1   ,4.0   
03,2018,MA,Massachusetts,66.9   ,64.4   ,3.6   
03,2018,MI,Michigan,61.6   ,58.9   ,4.3   
03,2018,MN,Minnesota,69.7   ,67.6   ,3.0   
03,2018,MS,Mississippi,55.7   ,53.0   ,4.9   
03,2018,MO,Missouri,63.8   ,61.6   ,3.4   
03,2018,MT,Montana,63.2   ,60.8   ,3.8   
03,2018,NE,Nebraska,69.7   ,67.7   ,2.9   
03,2018,NV,Nevada,63.2   ,60.3   ,4.6   
03,2018,NH,New Hampshire,68.6   ,66.8   ,2.7   
03,2018,NJ,New Jersey,63.0   ,60.3   ,4.3   
03,2018,NM,New Mexico,57.7   ,54.9   ,4.9   
03,2018,NY,New York,60.6   ,58.0   ,4.3   
03,2018,NC,North Carolina,61.2   ,58.7   ,4.0   
03,2018,ND,North Dakota,70.2   ,68.4   ,2.6   
03,2018,OH,Ohio,62.7   ,59.9   ,4.6   
03,2018,OK,Oklahoma,61.4   ,59.2   ,3.5   
03,2018,OR,Oregon,62.0   ,59.5   ,4.0   
03,2018,PA,Pennsylvania,62.5   ,59.6   ,4.6   
03,2018,RI,Rhode Island,64.6   ,61.9   ,4.2   
03,2018,SC,South Carolina,57.6   ,55.6   ,3.5   
03,2018,SD,South Dakota,69.3   ,67.3   ,2.9   
03,2018,TN,Tennessee,60.8   ,58.7   ,3.5   
03,2018,TX,Texas,64.0   ,61.5   ,4.0   
03,2018,UT,Utah,68.6   ,66.6   ,3.0   
03,2018,VT,Vermont,67.2   ,65.4   ,2.7   
03,2018,VA,Virginia,65.5   ,63.4   ,3.2   
03,2018,WA,Washington,64.0   ,61.1   ,4.5   
03,2018,WV,West Virginia,54.2   ,51.3   ,5.3   
03,2018,WI,Wisconsin,67.6   ,65.6   ,2.9   
03,2018,WY,Wyoming,65.7   ,63.0   ,4.1   
04,2018,AL,Alabama,57.2   ,54.9   ,4.0   
04,2018,AK,Alaska,65.3   ,61.3   ,6.1   
04,2018,AZ,Arizona,61.0   ,58.2   ,4.7   
04,2018,AR,Arkansas,57.9   ,55.8   ,3.7   
04,2018,CA,California,62.3   ,59.7   ,4.2   
04,2018,CO,Colorado,68.7   ,66.6   ,3.0   
04,2018,CT,Connecticut,66.0   ,63.3   ,4.0   
04,2018,DE,Delaware,62.4   ,60.0   ,3.8   
04,2018,DC,District of Columbia,70.8   ,66.7   ,5.8   
04,2018,FL,Florida,59.4   ,57.1   ,3.8   
04,2018,GA,Georgia,63.6   ,61.0   ,4.1   
04,2018,HI,Hawaii,61.9   ,60.5   ,2.2   
04,2018,ID,Idaho,64.1   ,62.3   ,2.8   
04,2018,IL,Illinois,64.7   ,61.9   ,4.3   
04,2018,IN,Indiana,65.1   ,62.9   ,3.4   
04,2018,IA,Iowa,69.1   ,67.3   ,2.6   
04,2018,KS,Kansas,66.9   ,64.7   ,3.4   
04,2018,KY,Kentucky,58.8   ,56.3   ,4.2   
04,2018,LA,Louisiana,59.1   ,56.2   ,4.9   
04,2018,ME,Maine,63.2   ,61.2   ,3.0   
04,2018,MD,Maryland,67.8   ,65.2   ,3.9   
04,2018,MA,Massachusetts,67.1   ,64.7   ,3.6   
04,2018,MI,Michigan,61.6   ,59.1   ,4.1   
04,2018,MN,Minnesota,69.7   ,67.7   ,3.0   
04,2018,MS,Mississippi,55.7   ,53.0   ,4.9   
04,2018,MO,Missouri,63.8   ,61.7   ,3.3   
04,2018,MT,Montana,63.3   ,60.9   ,3.8   
04,2018,NE,Nebraska,69.8   ,67.8   ,2.9   
04,2018,NV,Nevada,63.3   ,60.5   ,4.5   
04,2018,NH,New Hampshire,68.8   ,66.9   ,2.7   
04,2018,NJ,New Jersey,63.0   ,60.4   ,4.2   
04,2018,NM,New Mexico,57.8   ,55.0   ,4.8   
04,2018,NY,New York,60.6   ,58.1   ,4.2   
04,2018,NC,North Carolina,61.3   ,58.8   ,4.0   
04,2018,ND,North Dakota,70.1   ,68.4   ,2.5   
04,2018,OH,Ohio,62.8   ,60.0   ,4.5   
04,2018,OK,Oklahoma,61.3   ,59.3   ,3.4   
04,2018,OR,Oregon,61.9   ,59.5   ,3.9   
04,2018,PA,Pennsylvania,62.6   ,59.8   ,4.5   
04,2018,RI,Rhode Island,64.7   ,62.0   ,4.1   
04,2018,SC,South Carolina,57.7   ,55.8   ,3.3   
04,2018,SD,South Dakota,69.4   ,67.4   ,2.8   
04,2018,TN,Tennessee,60.9   ,58.8   ,3.5   
04,2018,TX,Texas,64.1   ,61.5   ,4.0   
04,2018,UT,Utah,68.7   ,66.6   ,2.9   
04,2018,VT,Vermont,67.2   ,65.5   ,2.6   
04,2018,VA,Virginia,65.5   ,63.5   ,3.1   
04,2018,WA,Washington,64.0   ,61.2   ,4.4   
04,2018,WV,West Virginia,54.3   ,51.5   ,5.3   
04,2018,WI,Wisconsin,67.6   ,65.6   ,3.0   
04,2018,WY,Wyoming,65.7   ,63.1   ,4.0   
05,2018,AL,Alabama,57.3   ,55.0   ,4.0   
05,2018,AK,Alaska,65.3   ,61.4   ,6.0   
05,2018,AZ,Arizona,61.1   ,58.3   ,4.7   
05,2018,AR,Arkansas,57.9   ,55.8   ,3.6   
05,2018,CA,California,62.4   ,59.7   ,4.2   
05,2018,CO,Colorado,68.7   ,66.7   ,3.0   
05,2018,CT,Connecticut,66.1   ,63.5   ,3.9   
05,2018,DE,Delaware,62.4   ,60.0   ,3.8   
05,2018,DC,District of Columbia,70.7   ,66.7   ,5.7   
05,2018,FL,Florida,59.4   ,57.2   ,3.7   
